Year,budget,unit,contracter,open
2015,676,水利處,台球,Yes
2016,673,新建工程處,茂盛,Yes
2016,270,新建工程處,冠君,Yes
2016,255,新建工程處,金煌,Yes
2016,235,新建工程處,聖鋒,Yes
2016,190,新建工程處,福呈,No
2015,155,公園處,盛吉,Yes
2016,154,新建工程處,茂盛,Yes
2016,142,新建工程處,冠君,Yes
2016,123,新建工程處,未發包,Yes
